scenario,year,mean,lo,hi
fit_party_cont_only,2001,0.5122281908988953,0.5120962142944336,0.5124244630336762
fit_party_cont_only,2002,0.5122226119041443,0.5120891988277435,0.5123887002468109
fit_party_cont_only,2003,0.5122507572174072,0.5120312392711639,0.5124599814414978
fit_party_cont_only,2004,0.512285578250885,0.5121059060096741,0.5124782800674439
fit_party_cont_only,2005,0.5124233722686767,0.5121520340442658,0.5126330435276032
fit_party_cont_only,2006,0.5126060366630554,0.5124076068401336,0.512764310836792
fit_party_cont_only,2007,0.5127353191375732,0.5126617312431335,0.512831163406372
fit_party_cont_only,2008,0.512910807132721,0.5128242611885071,0.5129598438739776
fit_party_cont_only,2009,0.5132822394371033,0.5131293714046479,0.5134254693984985
fit_party_cont_only,2010,0.5134806513786316,0.5132859885692597,0.5136776924133301
fit_party_cont_only,2011,0.5136604189872742,0.513563048839569,0.5138310313224792
fit_party_cont_only,2012,0.514091682434082,0.5139369904994965,0.5143023014068604
fit_party_cont_only,2013,0.5143582701683045,0.5142455637454987,0.5144137442111969
fit_party_cont_only,2014,0.5149020075798034,0.5147245049476623,0.5150171995162964
fit_party_cont_only,2015,0.5152213931083679,0.5151089787483215,0.5153131186962128
fit_party_cont_only,2016,0.5156609535217285,0.5155078887939453,0.5158417046070098
fit_party_cont_only,2017,0.5162399172782898,0.5160828053951263,0.5164118111133575
fit_party_cont_only,2018,0.516832423210144,0.5167706906795502,0.5168835341930389
fit_party_cont_only,2019,0.5172656416893006,0.5171181082725524,0.517406803369522
fit_party_cont_only,2020,0.5178211331367493,0.5176744759082794,0.5179661870002746
fit_party_cont_only,2022,0.5190138816833496,0.5188520908355713,0.5191675424575806
fit_party_cont_only,2023,0.5197670817375183,0.5195902168750763,0.5199324786663055
fit_party_cont_only,2024,0.5203592658042908,0.5202376782894135,0.5204269528388977
fit_party_none,1994,0.5000077366828919,0.5000023961067199,0.5000129759311676
fit_party_none,1995,0.5000083208084106,0.5000037133693696,0.5000113368034362
fit_party_none,1996,0.5000068068504333,0.5000033617019654,0.5000087559223175
fit_party_none,1997,0.5000104427337646,0.5000015318393707,0.5000265717506409
fit_party_none,1998,0.5000070929527283,0.5000046372413636,0.5000102281570434
fit_party_none,1999,0.5000054478645325,0.5000015377998352,0.5000080406665802
fit_party_none,2000,0.5000082015991211,0.5000021874904632,0.5000111281871795
fit_party_none,2001,0.5000085949897766,0.5000020742416382,0.5000196397304535
fit_party_none,2002,0.5000071048736572,0.5000052452087402,0.5000095129013061
fit_party_none,2003,0.5000094413757324,0.5000034213066101,0.5000173211097717
fit_party_none,2004,0.5000061154365539,0.5000013530254364,0.500013917684555
fit_party_none,2005,0.5000097632408143,0.5000039219856263,0.5000213205814361
fit_party_none,2006,0.5000202655792236,0.5000057697296143,0.5000311136245728
fit_party_none,2007,0.5000062823295593,0.5000021696090698,0.5000120282173157
fit_party_none,2008,0.5000085473060608,0.5000042974948883,0.5000124573707581
fit_party_none,2009,0.5000075459480285,0.5000031113624572,0.5000145554542541
fit_party_none,2010,0.5000086069107056,0.5000033557415009,0.500013929605484
fit_party_none,2011,0.5000082373619079,0.5000036001205445,0.5000174343585968
fit_party_none,2012,0.5000051259994507,0.5000025928020477,0.5000076830387116
fit_party_none,2013,0.5000088214874268,0.500003206729889,0.5000112056732178
fit_party_none,2014,0.5000067234039307,0.5000017046928406,0.5000134646892548
fit_party_none,2015,0.5000110030174255,0.5000047802925109,0.5000199854373932
fit_party_none,2016,0.500007426738739,0.5000022172927856,0.5000123739242553
fit_party_none,2017,0.5000081419944763,0.500005179643631,0.5000122308731079
fit_party_none,2018,0.5000074148178101,0.5000006079673767,0.5000145316123963
fit_party_none,2019,0.5000056266784668,0.5000025570392609,0.5000124871730804
fit_party_none,2020,0.5000070929527283,0.5000015199184418,0.5000131487846374
fit_party_none,2022,0.5000099182128906,0.5000051259994507,0.5000187158584595
fit_party_none,2023,0.5000093817710877,0.5000073850154877,0.500010895729065
fit_party_none,2024,0.5000090003013611,0.5000044226646423,0.5000151336193085
fit_party_prev_only,1994,0.5000595688819885,0.5000326097011566,0.5000765919685364
fit_party_prev_only,1995,0.5000457644462586,0.50003103017807,0.5000732123851777
fit_party_prev_only,1996,0.5000442743301392,0.5000135183334351,0.5000704526901245
fit_party_prev_only,1997,0.5000324130058289,0.5000128448009491,0.5000575840473175
fit_party_prev_only,1998,0.5000327229499817,0.5000169277191162,0.5000485062599183
fit_party_prev_only,1999,0.5000399947166443,0.5000223696231842,0.5000609874725341
fit_party_prev_only,2000,0.5000321865081787,0.5000116944313049,0.5000557422637939
fit_party_prev_only,2001,0.5000251054763794,0.5000079154968262,0.50003103017807
fit_party_prev_only,2002,0.5000431776046753,0.500018322467804,0.5000595569610595
fit_party_prev_only,2003,0.5000266432762146,0.5000126361846924,0.500034612417221
fit_party_prev_only,2004,0.5000382184982299,0.5000189363956451,0.5000549495220185
fit_party_prev_only,2005,0.5000257372856141,0.5000108897686004,0.5000471293926239
fit_party_prev_only,2006,0.5000213027000427,0.5000080347061158,0.5000380992889404
fit_party_prev_only,2007,0.5000298738479614,0.5000114917755127,0.5000649809837341
fit_party_prev_only,2008,0.5000128984451294,0.5000052392482758,0.5000190138816833
fit_party_prev_only,2009,0.5000162839889526,0.5000086903572083,0.500025475025177
fit_party_prev_only,2010,0.500025498867035,0.5000055074691773,0.5000433146953582
fit_party_prev_only,2011,0.5000133275985718,0.5000065088272094,0.5000233888626099
fit_party_prev_only,2012,0.5000169277191162,0.5000068545341492,0.5000295281410218
fit_party_prev_only,2013,0.5000209093093873,0.5000129580497742,0.5000349402427673
fit_party_prev_only,2014,0.5000258564949036,0.5000159323215485,0.5000399649143219
fit_party_prev_only,2015,0.5000118374824524,0.500006514787674,0.5000171899795532
fit_party_prev_only,2016,0.5000257372856141,0.5000059425830841,0.5000495314598083
fit_party_prev_only,2017,0.5000186800956726,0.500007826089859,0.5000351905822754
fit_party_prev_only,2018,0.5000098466873169,0.5000056982040405,0.500014704465866
fit_party_prev_only,2019,0.5000203728675843,0.5000091850757599,0.5000457465648651
fit_party_prev_only,2020,0.5000212073326111,0.500009173154831,0.5000358343124389
fit_party_prev_only,2022,0.5000328898429871,0.5000198483467102,0.5000446081161499
fit_party_prev_only,2023,0.5000357747077941,0.5000175714492798,0.5000666499137878
fit_party_prev_only,2024,0.5000353932380677,0.500025463104248,0.5000512421131134
