scenario,year,rep,pol
fit_party_none,2008,2,0.5000041723251343
fit_party_none,2008,3,0.5000054240226746
fit_party_none,2008,4,0.5000108480453491
fit_party_none,2009,0,0.5000032186508179
fit_party_none,2009,1,0.5000030994415283
fit_party_none,2009,2,0.5000114440917969
fit_party_none,2009,3,0.5000050663948059
fit_party_none,2009,4,0.5000149011611938
fit_party_none,2010,0,0.5000137686729431
fit_party_none,2010,1,0.5000030994415283
fit_party_none,2010,2,0.5000139474868774
fit_party_none,2010,3,0.5000065565109253
fit_party_none,2010,4,0.5000056624412537
fit_party_none,2011,0,0.5000048875808716
fit_party_none,2011,1,0.5000107288360596
fit_party_none,2011,2,0.5000038146972656
fit_party_none,2011,3,0.5000035762786865
fit_party_none,2011,4,0.5000181794166565
fit_party_none,2012,0,0.5000060200691223
fit_party_none,2012,1,0.5000048875808716
fit_party_none,2012,2,0.5000044703483582
fit_party_none,2012,3,0.5000078678131104
fit_party_none,2012,4,0.500002384185791
fit_party_none,2013,0,0.5000113248825073
fit_party_none,2013,1,0.500010073184967
fit_party_none,2013,2,0.5000101327896118
fit_party_none,2013,3,0.5000024437904358
fit_party_none,2013,4,0.5000101327896118
fit_party_none,2014,0,0.5000107288360596
fit_party_none,2014,1,0.5000044703483582
fit_party_none,2014,2,0.5000015497207642
fit_party_none,2014,3,0.5000137686729431
fit_party_none,2014,4,0.5000030994415283
fit_party_none,2015,0,0.5000070333480835
fit_party_none,2015,1,0.5000100135803223
fit_party_none,2015,2,0.5000126361846924
fit_party_none,2015,3,0.5000208020210266
fit_party_none,2015,4,0.5000045299530029
fit_party_none,2016,0,0.5000126361846924
fit_party_none,2016,1,0.5000060796737671
fit_party_none,2016,2,0.5000100135803223
fit_party_none,2016,3,0.5000066161155701
fit_party_none,2016,4,0.5000017881393433
fit_party_none,2017,0,0.5000126361846924
fit_party_none,2017,1,0.5000072717666626
fit_party_none,2017,2,0.5000085830688477
fit_party_none,2017,3,0.5000072717666626
fit_party_none,2017,4,0.5000049471855164
fit_party_none,2018,0,0.5000090599060059
fit_party_none,2018,1,0.5000077486038208
fit_party_none,2018,2,0.5000001192092896
fit_party_none,2018,3,0.5000050067901611
fit_party_none,2018,4,0.500015139579773
fit_party_none,2019,0,0.5000030398368835
fit_party_none,2019,1,0.5000132322311401
fit_party_none,2019,2,0.5000057816505432
fit_party_none,2019,3,0.5000035762786865
fit_party_none,2019,4,0.5000025033950806
fit_party_none,2020,0,0.5000051259994507
fit_party_none,2020,1,0.5000133514404297
fit_party_none,2020,2,0.5000044703483582
fit_party_none,2020,3,0.5000011920928955
fit_party_none,2020,4,0.5000113248825073
fit_party_none,2022,0,0.5000061988830566
fit_party_none,2022,1,0.5000050067901611
fit_party_none,2022,2,0.5000112056732178
fit_party_none,2022,3,0.5000195503234863
fit_party_none,2022,4,0.5000076293945312
fit_party_none,2023,0,0.5000095367431641
fit_party_none,2023,1,0.5000072121620178
fit_party_none,2023,2,0.5000089406967163
fit_party_none,2023,3,0.5000102519989014
fit_party_none,2023,4,0.5000109672546387
fit_party_none,2024,0,0.500008225440979
fit_party_none,2024,1,0.5000091791152954
fit_party_none,2024,2,0.5000040531158447
fit_party_none,2024,3,0.5000157952308655
fit_party_none,2024,4,0.5000077486038208
fit_party_prev_only,1994,0,0.5000612735748291
fit_party_prev_only,1994,1,0.500056266784668
fit_party_prev_only,1994,2,0.500029981136322
fit_party_prev_only,1994,3,0.500076949596405
fit_party_prev_only,1994,4,0.5000733733177185
fit_party_prev_only,1995,0,0.5000351667404175
fit_party_prev_only,1995,1,0.5000307559967041
fit_party_prev_only,1995,2,0.5000540614128113
fit_party_prev_only,1995,3,0.5000334978103638
fit_party_prev_only,1995,4,0.5000753402709961
fit_party_prev_only,1996,0,0.5000724792480469
fit_party_prev_only,1996,1,0.5000522136688232
fit_party_prev_only,1996,2,0.5000348687171936
fit_party_prev_only,1996,3,0.500011146068573
fit_party_prev_only,1996,4,0.5000506639480591
fit_party_prev_only,1997,0,0.5000393986701965
fit_party_prev_only,1997,1,0.500029981136322
fit_party_prev_only,1997,2,0.5000596046447754
fit_party_prev_only,1997,3,0.5000119209289551
fit_party_prev_only,1997,4,0.5000211596488953
fit_party_prev_only,1998,0,0.50002121925354
fit_party_prev_only,1998,1,0.5000492334365845
fit_party_prev_only,1998,2,0.5000419616699219
fit_party_prev_only,1998,3,0.500034749507904
fit_party_prev_only,1998,4,0.500016450881958
fit_party_prev_only,1999,0,0.500054657459259
fit_party_prev_only,1999,1,0.5000349283218384
fit_party_prev_only,1999,2,0.5000268220901489
fit_party_prev_only,1999,3,0.5000218749046326
fit_party_prev_only,1999,4,0.5000616908073425
fit_party_prev_only,2000,0,0.5000531673431396
fit_party_prev_only,2000,1,0.5000112652778625
fit_party_prev_only,2000,2,0.5000560283660889
fit_party_prev_only,2000,3,0.5000249147415161
fit_party_prev_only,2000,4,0.5000155568122864
fit_party_prev_only,2001,0,0.5000298023223877
fit_party_prev_only,2001,1,0.5000311136245728
fit_party_prev_only,2001,2,0.5000302791595459
fit_party_prev_only,2001,3,0.5000287294387817
fit_party_prev_only,2001,4,0.5000056028366089
fit_party_prev_only,2002,0,0.5000598430633545
fit_party_prev_only,2002,1,0.500042200088501
fit_party_prev_only,2002,2,0.5000157952308655
fit_party_prev_only,2002,3,0.5000569820404053
fit_party_prev_only,2002,4,0.5000410676002502
fit_party_prev_only,2003,0,0.500023365020752
fit_party_prev_only,2003,1,0.5000317692756653
fit_party_prev_only,2003,2,0.5000317096710205
fit_party_prev_only,2003,3,0.5000349283218384
fit_party_prev_only,2003,4,0.5000114440917969
fit_party_prev_only,2004,0,0.5000479221343994
fit_party_prev_only,2004,1,0.5000396966934204
fit_party_prev_only,2004,2,0.5000300407409668
fit_party_prev_only,2004,3,0.5000177025794983
fit_party_prev_only,2004,4,0.500055730342865
fit_party_prev_only,2005,0,0.5000214576721191
fit_party_prev_only,2005,1,0.5000495910644531
fit_party_prev_only,2005,2,0.5000097155570984
fit_party_prev_only,2005,3,0.5000249743461609
fit_party_prev_only,2005,4,0.5000229477882385
fit_party_prev_only,2006,0,0.5000290870666504
fit_party_prev_only,2006,1,0.5000171065330505
fit_party_prev_only,2006,2,0.5000073909759521
fit_party_prev_only,2006,3,0.5000138282775879
fit_party_prev_only,2006,4,0.5000391006469727
fit_party_prev_only,2007,0,0.5000240802764893
fit_party_prev_only,2007,1,0.5000107884407043
fit_party_prev_only,2007,2,0.5000275373458862
fit_party_prev_only,2007,3,0.5000691413879395
fit_party_prev_only,2007,4,0.5000178217887878
fit_party_prev_only,2008,0,0.5000057220458984
fit_party_prev_only,2008,1,0.5000174045562744
fit_party_prev_only,2008,2,0.500016987323761
fit_party_prev_only,2008,3,0.5000051856040955
fit_party_prev_only,2008,4,0.5000191926956177
fit_party_prev_only,2009,0,0.5000091195106506
fit_party_prev_only,2009,1,0.5000261068344116
fit_party_prev_only,2009,2,0.5000177621841431
fit_party_prev_only,2009,3,0.5000086426734924
fit_party_prev_only,2009,4,0.5000197887420654
fit_party_prev_only,2010,0,0.5000221729278564
fit_party_prev_only,2010,1,0.5000036954879761
fit_party_prev_only,2010,2,0.5000218152999878
fit_party_prev_only,2010,3,0.5000441670417786
fit_party_prev_only,2010,4,0.5000356435775757
fit_party_prev_only,2011,0,0.5000193119049072
fit_party_prev_only,2011,1,0.500008225440979
fit_party_prev_only,2011,2,0.5000238418579102
fit_party_prev_only,2011,3,0.5000063180923462
fit_party_prev_only,2011,4,0.5000089406967163
fit_party_prev_only,2012,0,0.5000222325325012
fit_party_prev_only,2012,1,0.5000159740447998
fit_party_prev_only,2012,2,0.5000065565109253
fit_party_prev_only,2012,3,0.5000303387641907
fit_party_prev_only,2012,4,0.5000095367431641
fit_party_prev_only,2013,0,0.5000180006027222
fit_party_prev_only,2013,1,0.5000125765800476
fit_party_prev_only,2013,2,0.5000364780426025
fit_party_prev_only,2013,3,0.5000211000442505
fit_party_prev_only,2013,4,0.5000163912773132
